condition,episodes,IETR,AMR,HUIR,TIR,mean_TFE,TaskSuccess,total_actions
G1,13,0.15384615384615385,0.16901408450704225,0.0,0.0,5,0.8461538461538461,71
G2,13,0.38461538461538464,0.20634920634920634,0.0,0.0,2.2,0.6153846153846154,63
G3,27,0.07407407407407407,0.015748031496062992,0.0,0.0,9,0.9259259259259259,127
G4,27,0.037037037037037035,0.008547008547008548,0.0,0.0,9,0.9629629629629629,117
